date,call,put,hisvol,fuprice
2021-10-25,0.0063,0.009,0.0406,1.16235
2021-10-26,0.0054,0.0088,0.0402,1.16075
2021-10-27,0.0061,0.0085,0.0401,1.16195
2021-10-28,0.0102,0.0055,0.0416,1.16945
2021-10-29,0.004,0.0136,0.0452,1.15685
2021-11-01,0.0054,0.0099,0.0458,1.1616
2021-11-02,0.0049,0.0093,0.0459,1.1591
2021-11-03,0.005,0.0112,0.0461,1.162
2021-11-04,0.0029,0.0133,0.0462,1.1561
2021-11-05,0.003,0.0141,0.0462,1.1558
2021-11-08,0.0036,0.0086,0.0466,1.1597
2021-11-09,0.004,0.0087,0.0466,1.16015
2021-11-10,0.0014,0.0173,0.0491,1.14905
2021-11-11,0.0007,0.0205,0.0491,1.14515
2021-11-12,0.0007,0.0214,0.0487,1.145
